Met	Flux	Lb	Ub
glucose[s]	-577.48095	-416.32767	-746.98063
L-lactate[s]	837.16768	680.72197	1005.38606
pyruvate[s]	73.67340	50.14396	98.18132
alanine[s]	30.15179	24.23451	36.47896
arginine[s]	-13.68620	-11.61189	-15.95512
aspartate[s]	0.52898	0.36698	0.69874
cystine[s]	-9.15613	-7.46797	-10.97019
glutamate[s]	18.82637	16.08478	21.83271
glutamine[s]	-94.35798	-79.61455	-110.39884
glycine[s]	-0.79656	1.17094	-2.77203
histidine[s]	-3.91162	-2.86282	-5.01298
isoleucine[s]	-19.06437	-15.28128	-23.11405
leucine[s]	-21.83861	-17.95543	-26.01695
lysine[s]	-13.69567	-10.04064	-17.53901
methionine[s]	-4.45001	-3.60312	-5.35878
ornithine[s]	2.03455	1.74590	2.35277
phenylalanine[s]	-13.00637	-10.99851	-15.19307
proline[s]	12.38173	11.17064	13.77274
serine[s]	-10.44308	-7.31015	-13.71633
threonine[s]	-11.21483	-7.57001	-15.01911
tryptophan[s]	-1.66752	-1.02865	-2.32932
tyrosine[s]	0.32200	-1.44255	2.10587
valine[s]	-19.64377	-15.98512	-23.57253
biomass[s]	0.03534	0.02746	0.04445
