Met	Flux	Lb	Ub
glucose[s]	11.78716	-11.99343	35.62668
L-lactate[s]	-84.59403	-64.52938	-105.27991
pyruvate[s]	-18.42398	-11.34227	-25.64964
alanine[s]	-8.06113	-3.12369	-13.06658
arginine[s]	-11.13344	-9.62695	-12.72344
aspartate[s]	1.90980	1.26226	2.56928
cystine[s]	-11.28331	-9.34400	-13.30197
glutamate[s]	31.01872	25.90064	36.35734
glutamine[s]	-126.18694	-107.85040	-145.42059
glycine[s]	23.95938	20.91205	27.17892
histidine[s]	-2.29250	-1.59401	-3.00784
isoleucine[s]	-18.49569	-14.88903	-22.22951
leucine[s]	-20.05295	-16.54995	-23.69694
lysine[s]	-8.06172	-5.48953	-10.69059
methionine[s]	-2.97371	-2.15222	-3.81378
ornithine[s]	3.62675	3.07820	4.20249
phenylalanine[s]	-9.03096	-7.39127	-10.73555
proline[s]	8.58544	6.86030	10.37094
serine[s]	-4.60653	-2.42419	-6.81910
threonine[s]	-5.74276	-2.99341	-8.53876
tryptophan[s]	-1.19334	-0.55341	-1.84148
tyrosine[s]	1.78186	0.47665	3.10044
valine[s]	-17.02835	-14.00581	-20.16263
biomass[s]	0.03933	0.03378	0.04549
