Name	Time	Concentration	STD
Alanine	0	162.675	138.034315
Alanine	22	43.38	406.36202
Alanine	41	21.69	284.943647
Alanine	47	21.69	131.488637
Alanine	65	21.69	342.319695
Alanine	71	25.305	181.147213
Alanine	89	21.69	120.764809
Alanine	95	21.69	55.652218
Alanine	161	32.535	395.061782
Arginine	0	322.94	2.556191
Arginine	22	286.79	25.074426
Arginine	41	298.438333	25.769351
Arginine	47	295.225	12.657281
Arginine	65	300.848333	48.520269
Arginine	71	268.715	17.503636
Arginine	89	263.895	16.711457
Arginine	95	267.108333	10.527958
Arginine	161	249.435	40.007694
Cystine	0	256.665	7.668573
Cystine	22	213.285	43.128228
Cystine	41	197.62	38.990642
Cystine	47	209.67	23.70514
Cystine	65	201.235	71.786048
Cystine	71	181.955	29.59005
Cystine	89	180.75	26.64658
Cystine	95	192.8	10.435606
Cystine	161	201.235	73.049243
Glutamic acid	0	45.1875	0
Glutamic acid	22	63.865	22000
Glutamic acid	41	80.735	41000
Glutamic acid	47	84.35	47000
Glutamic acid	65	106.04	65000
Glutamic acid	71	101.22	71000
Glutamic acid	89	102.425	89000
Glutamic acid	95	122.91	95000
Glutamic acid	161	177.135	161000
Glutamine	0	0	10.224764
Glutamine	22	0	30.10089
Glutamine	41	0	32.801685
Glutamine	47	0	9.564391
Glutamine	65	0	36.2102
Glutamine	71	0	18.075
Glutamine	89	0	20.55576
Glutamine	95	0	5.522004
Glutamine	161	0	8.348485
Glycine	0	207.8625	7.668573
Glycine	22	202.44	16.300938
Glycine	41	263.895	17.832372
Glycine	47	291.61	10.435606
Glycine	65	406.085	30.10089
Glycine	71	362.705	16.300938
Glycine	89	360.295	9.564391
Glycine	95	443.44	2.087121
Glycine	161	572.375	34.484902
Histidine	0	186.1725	0
Histidine	22	165.085	0
Histidine	41	171.11	0
Histidine	47	174.725	0
Histidine	65	186.775	0
Histidine	71	171.11	0
Histidine	89	173.52	0
Histidine	95	185.57	0
Histidine	161	216.9	0
Iso-leucine	0	679.62	7.668573
Iso-leucine	22	592.86	36.2102
Iso-leucine	41	603.705	75.915
Iso-leucine	47	589.245	20.55576
Iso-leucine	65	608.525	69.817247
Iso-leucine	71	559.12	25.390926
Iso-leucine	89	559.12	20.55576
Iso-leucine	95	588.04	12.695463
Iso-leucine	161	648.29	67.855518
Leucine	0	737.46	0
Leucine	22	626.6	75.223277
Leucine	41	627.805	78.454662
Leucine	47	614.55	30.886574
Leucine	65	635.035	138.381016
Leucine	71	575.99	41.585596
Leucine	89	572.375	51.29395
Leucine	95	598.885	28.079344
Leucine	161	648.29	105.415119
Lysine	0	755.535	15.337146
Lysine	22	648.29	62.229821
Lysine	41	678.415	73.049243
Lysine	47	677.21	31.514839
Lysine	65	736.255	115.302823
Lysine	71	672.39	39.983491
Lysine	89	672.39	38.654026
Lysine	95	712.155	14.609849
Lysine	161	830.245	102.26894
