Complete	GLU	SER	GLN	HIS	GLY	THR	TYR	CYS	VAL	MET	TRP	PHE	ISO	LEU	LYS
0	0.04017	0.37355	1.38977	0.16067	0.19682	0.46593	0.33740	0.36150	0.57438	0.25305	0.06427	0.32133	0.60652	0.71497	0.62258
18	0.09238	0.30326	0.89572	0.17874	0.30728	0.52819	0.33539	0.45991	0.55631	0.24502	0.05623	0.31330	0.54024	0.62660	0.63664
24	0.17807	0.31598	0.95195	0.19012	0.30794	0.62526	0.40301	0.34142	0.63597	0.25171	0.06962	0.35213	0.60116	0.64802	0.71363
32	0.29322	0.31732	0.86760	0.23966	0.49807	0.83413	0.52618	0.35882	0.81538	0.30393	0.09238	0.48401	0.67078	0.78459	0.90777
48	0.35213	0.25439	0.31464	0.18209	0.35882	0.66677	0.43648	0.28117	0.62124	0.22761	0.06694	0.22226	0.54493	0.56501	0.69890
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	0.03408	0.02556	0.24994	0.00284	0.03692	0.00284	0.02556	0.07101	0.02556	0.01136	0.01136	0.02840	0.01988	0.02840	0.02556
24	0.03901	0.01291	0.03874	0.01227	0.04515	0.05825	0.03222	0.01063	0.05453	0.01411	0.00614	0.02613	0.04568	0.03645	0.04443
32	0.07525	0.03502	0.10225	0.01672	0.05580	0.11658	0.04936	0.07144	0.12542	0.01981	0.01063	0.01988	0.26311	0.08958	0.07695
48	0.00928	0.02613	0.00928	0.00232	0.03796	0.03033	0.01672	0.02812	0.01672	0.00232	0.00232	0.00614	0.01672	0.02061	0.01205
